time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-06-28T11:17:31.734Z,8.4069,-82.8409,22.89,4.4,mb,,82,0.413,0.81,us,us700046i1,2019-06-28T12:08:43.681Z,"3km NE of Finca Blanco Numero Uno, Panama",earthquake,5.6,6.4,0.067,64,reviewed,us,us
2019-06-28T09:24:08.880Z,37.5128326,-118.7975006,6.01,2.8,md,26,116,0.08105,0.05,nc,nc73203191,2019-06-28T11:50:03.687Z,"12km WSW of Toms Place, CA",earthquake,0.26,1,0.17,31,automatic,nc,nc
2019-06-28T08:30:42.866Z,-29.3884,-70.916,81.42,5,mww,,89,0.42,0.72,us,us700046ge,2019-06-28T12:13:26.262Z,"66km NNE of La Serena, Chile",earthquake,6.6,4.2,0.061,26,reviewed,us,us
2019-06-28T07:39:53.710Z,19.4121666,-155.2940063,-0.07,2.6,ml,17,78,0.007904,0.2,hv,hv71013771,2019-06-28T07:45:33.560Z,"6km WSW of Volcano, Hawaii",earthquake,0.22,0.3,0.5,16,automatic,hv,hv
2019-06-28T07:04:22.443Z,8.2629,126.0562,35,4.7,mb,,109,1.276,0.88,us,us700046fs,2019-06-28T07:51:43.040Z,"12km NE of Bunawan, Philippines",earthquake,10.9,2,0.063,77,reviewed,us,us
2019-06-28T06:16:59.220Z,35.7886734,-96.68558502,0.058681019,2.64,ml,58,91.96224213,0.145630673,0.78807769,ok,ok2019mnrz,2019-06-28T09:32:24.365Z,"5km NNW of Stroud, Oklahoma",earthquake,1.834412013,1.268226432,,43,automatic,ok,ok
2019-06-28T05:29:52.514Z,-22.4517,-65.9671,257.7,4.2,mb,,63,2.102,0.7,us,us700046ey,2019-06-28T08:51:25.495Z,"40km NW of Abra Pampa, Argentina",earthquake,9.4,3.9,0.186,8,reviewed,us,us
2019-06-28T05:16:12.230Z,36.4982,70.205,211.89,4.2,mb,,88,1.554,0.64,us,us700046es,2019-06-28T05:32:27.040Z,"32km ESE of Farkhar, Afghanistan",earthquake,6.6,8,0.084,40,reviewed,us,us
2019-06-28T04:30:34.275Z,29.9449,142.9444,10,4.7,mb,,162,2.916,1.3,us,us700046e4,2019-06-28T04:59:06.040Z,"Izu Islands, Japan region",earthquake,6.8,1.9,0.147,14,reviewed,us,us
2019-06-28T04:20:11.403Z,31.6312,-104.2822,5,2.7,mb_lg,,99,0.369,0.61,us,us700046dz,2019-06-28T04:30:21.040Z,"65km W of Mentone, Texas",earthquake,2.2,1.9,0.085,58,reviewed,us,us
2019-06-28T03:37:53.820Z,18.8646,-67.3486,7,2.71,md,4,315,0.4627,0.18,pr,pr2019179000,2019-06-28T07:50:28.804Z,"48km NNW of San Antonio, Puerto Rico",earthquake,1.83,2.15,0.33,3,reviewed,pr,pr
2019-06-28T02:07:43.607Z,13.6617,-91.8201,35,4.1,mb,,254,0.866,0.74,us,us700046df,2019-06-28T02:33:27.040Z,"71km S of Champerico, Guatemala",earthquake,5.7,2,0.073,52,reviewed,us,us
2019-06-28T00:28:45.729Z,1.8092,127.3981,106.53,4.5,mb,,111,1.03,0.63,us,us700046cw,2019-06-28T00:46:17.040Z,"68km W of Tobelo, Indonesia",earthquake,10,7.7,0.103,28,reviewed,us,us
2019-06-27T23:37:58.937Z,-17.5794,-69.9096,164.5,4,mb,,101,0.409,0.85,us,us700046cf,2019-06-27T23:58:13.040Z,"17km SE of Tarata, Peru",earthquake,6.7,8.8,0.156,11,reviewed,us,us
2019-06-27T21:47:52.420Z,19.6563,-65.4831,74,2.64,md,8,331,1.5577,0.17,pr,pr2019178009,2019-06-28T01:58:11.040Z,"124km NNE of Vieques, Puerto Rico",earthquake,3.96,12.1,0.49,2,reviewed,pr,pr
2019-06-27T20:58:24.977Z,-20.734,-173.8936,10,5.2,mb,,48,4.08,1.67,us,us7000469v,2019-06-27T21:16:48.474Z,"113km SSE of Pangai, Tonga",earthquake,10,1.8,0.044,170,reviewed,us,us
2019-06-27T20:50:46.750Z,34.0268333,-117.5683333,11.43,3.02,ml,170,15,0.02287,0.19,ci,ci38433919,2019-06-28T08:55:24.194Z,"6km NW of Mira Loma, CA",earthquake,0.1,0.18,0.184,258,reviewed,ci,ci
2019-06-27T20:45:15.742Z,-2.7169,138.4154,10,5,mb,,36,6.162,1.06,us,us7000469g,2019-06-27T21:04:38.040Z,"241km W of Abepura, Indonesia",earthquake,8.6,1.9,0.043,169,reviewed,us,us
2019-06-27T20:24:33.631Z,1.416,127.4231,162.89,4.9,mww,,76,0.642,0.66,us,us7000468p,2019-06-27T20:41:46.040Z,"68km N of Ternate, Indonesia",earthquake,9.3,5.8,0.073,18,reviewed,us,us
2019-06-27T19:55:27.883Z,62.2755,-151.1957,64.1,3.1,ml,,,,0.64,ak,ak01986pauv7,2019-06-27T20:02:26.410Z,"56km W of Talkeetna, Alaska",earthquake,,0.6,,,automatic,ak,ak
2019-06-27T19:29:45.944Z,40.2282,142.2482,54.75,4.4,mb,,173,1.062,0.44,us,us7000466b,2019-06-27T22:22:05.040Z,"70km ESE of Hachinohe, Japan",earthquake,7.6,8.4,0.109,24,reviewed,us,us
2019-06-27T18:44:12.248Z,29.4412,-104.0464,5,2.8,ml,,221,0.347,0.41,us,us7000464u,2019-06-27T19:02:38.040Z,"34km ESE of Presidio, Texas",earthquake,7.1,2,0.181,14,reviewed,us,us
2019-06-27T18:15:45.540Z,17.9765,-68.5058,93,3.24,md,7,244,1.1047,0.49,pr,pr2019178007,2019-06-27T21:43:27.040Z,"105km S of Boca de Yuma, Dominican Republic",earthquake,7.22,8.91,0.15,5,reviewed,pr,pr
2019-06-27T16:12:06.480Z,18.0609,-105.6568,10,4.4,mb,,232,5.507,1.04,us,us700045z8,2019-06-27T18:45:05.040Z,"162km SW of San Patricio, Mexico",earthquake,12,2,0.11,24,reviewed,us,us
2019-06-27T16:04:03.960Z,18.747,-65.7626,22,2.55,md,8,290,0.543,0.38,pr,pr2019178006,2019-06-27T19:49:49.298Z,"36km NNE of Vieques, Puerto Rico",earthquake,2.14,23.96,0.51,7,reviewed,pr,pr
2019-06-27T15:44:24.072Z,-2.6399,138.4924,10,4.7,mb,,56,6.242,0.66,us,us700045yk,2019-06-27T18:28:23.040Z,"232km W of Abepura, Indonesia",earthquake,8.1,1.5,0.073,57,reviewed,us,us
2019-06-27T15:39:30.084Z,-21.8337,168.7583,10,4.7,mb,,79,1.441,1.23,us,us700045yf,2019-06-27T18:16:43.040Z,"95km ESE of Tadine, New Caledonia",earthquake,6.7,1.8,0.118,25,reviewed,us,us
2019-06-27T14:14:03.932Z,-20.7121,-178.1998,525.09,4.8,mb,,114,4.609,1.16,us,us700045ww,2019-06-27T22:16:44.658Z,"52km E of Ndoi Island, Fiji",earthquake,12.6,7.3,0.037,230,reviewed,us,us
2019-06-27T12:48:36.577Z,-2.6954,138.2085,19.8,5.1,mb,,71,5.956,1.26,us,us700045wd,2019-06-27T13:20:53.040Z,"246km ENE of Enarotali, Indonesia",earthquake,11.1,4,0.056,103,reviewed,us,us
2019-06-27T11:04:57.020Z,-30.3859,-179.2332,10,6.3,mww,,56,1.605,1.22,us,us700045vh,2019-06-28T11:08:00.832Z,"120km NNW of L'Esperance Rock, New Zealand",earthquake,8.5,1.8,0.073,18,reviewed,us,us
2019-06-27T11:01:20.055Z,51.4509,-176.709,32.1,3.6,ml,,,,0.37,ak,ak01986k7suh,2019-06-27T16:11:51.691Z,"47km S of Adak, Alaska",earthquake,,0.8,,,reviewed,ak,ak
2019-06-27T10:49:56.630Z,37.4538333,-118.729,12.62,2.54,md,31,123,0.1171,0.07,nc,nc73202731,2019-06-28T02:04:48.792Z,"12km WNW of Round Valley, CA",earthquake,0.3,0.87,0.234,34,reviewed,nc,nc
2019-06-27T08:53:55.106Z,-2.7493,138.5965,10,4.7,mb,,126,6.342,0.26,us,us700045tt,2019-06-27T11:46:35.040Z,"221km W of Abepura, Indonesia",earthquake,12.8,1.9,0.137,16,reviewed,us,us
2019-06-27T06:21:20.510Z,32.2795,-115.2263333,27.03,3.24,ml,31,211,0.1294,0.34,ci,ci38432527,2019-06-27T17:30:32.957Z,"8km NW of Alberto Oviedo Mota, B.C., MX",earthquake,0.9,0.59,0.218,63,reviewed,ci,ci
2019-06-27T06:19:51.851Z,38.8556,125.6715,10,3.8,mb_lg,,131,1.567,0.27,us,us700045sm,2019-06-28T03:36:38.066Z,"11km NNE of Songnim, North Korea",earthquake,6.3,2,0.228,5,reviewed,us,us
2019-06-27T06:02:40.678Z,56.2215,164.714,10,4.1,mb,,112,4.762,1.07,us,us700045s7,2019-06-27T06:28:43.040Z,"138km E of Ust'-Kamchatsk Staryy, Russia",earthquake,6.6,1.9,0.117,20,reviewed,us,us
2019-06-27T05:50:16.378Z,69.3115,-143.8109,1.8,2.5,ml,,,,1.04,ak,ak01986gxozw,2019-06-27T06:18:20.040Z,"91km S of Kaktovik, Alaska",earthquake,,2.7,,,automatic,ak,ak
2019-06-27T05:46:23.389Z,-6.2923,125.1115,552.9,4.6,mb,,73,3.54,0.72,us,us700045sf,2019-06-27T06:40:13.040Z,"255km NNW of Dili, East Timor",earthquake,9.7,6.8,0.084,42,reviewed,us,us
2019-06-27T05:31:26.840Z,18.2771,-67.8616,109,2.96,md,14,192,0.3972,0.33,pr,pr2019178003,2019-06-27T09:28:52.040Z,"63km W of Rincon, Puerto Rico",earthquake,2.63,1.6,0.34,14,reviewed,pr,pr
2019-06-27T05:05:23.481Z,-9.4058,117.3244,89.86,4.4,mb,,111,3.269,0.56,us,us700045rj,2019-06-27T05:37:11.040Z,"81km SE of Besisora, Indonesia",earthquake,7.4,7.4,0.12,20,reviewed,us,us
2019-06-27T04:20:48.784Z,56.1951,164.308,10,5.7,mww,,74,4.573,1.04,us,us700045r4,2019-06-28T04:23:55.871Z,"113km E of Ust'-Kamchatsk Staryy, Russia",earthquake,7.5,1.8,0.044,50,reviewed,us,us
2019-06-27T02:35:18.240Z,19.1663,-68.0998,6,3.17,md,8,332,0.9982,0.54,pr,pr2019178001,2019-06-27T05:01:21.692Z,"72km NNE of Punta Cana, Dominican Republic",earthquake,30.57,29.32,0.12,8,reviewed,pr,pr
2019-06-27T01:09:44.540Z,32.389,-115.2426667,18.03,2.53,ml,19,117,0.06087,0.26,ci,ci38432231,2019-06-27T16:22:39.546Z,"6km NW of Delta, B.C., MX",earthquake,0.55,1.74,0.212,31,reviewed,ci,ci
2019-06-27T01:07:37.610Z,32.3655,-115.2383333,19.13,2.46,ml,25,126,0.07798,0.29,ci,ci38432215,2019-06-27T18:09:58.248Z,"4km WNW of Delta, B.C., MX",earthquake,0.47,1.1,0.284,21,reviewed,ci,ci
2019-06-27T00:03:17.570Z,19.2218333,-155.4556667,10.77,2.96,ml,50,108,0.02693,0.14,hv,hv71011911,2019-06-27T02:35:16.040Z,"3km NE of Pahala, Hawaii",earthquake,0.35,0.46,0.175,43,reviewed,hv,hv
2019-06-26T22:12:58.376Z,84.4877,105.6611,10,5.1,mb,,39,12.765,0.69,us,us700045mr,2019-06-26T22:31:42.040Z,North of Severnaya Zemlya,earthquake,8.8,1.9,0.035,271,reviewed,us,us
2019-06-26T22:01:09.575Z,36.4656,70.8702,129.26,4.5,mb,,74,2.431,0.36,us,us700045m9,2019-06-27T05:30:28.239Z,"44km S of Jarm, Afghanistan",earthquake,6.2,4.7,0.089,37,reviewed,us,us
2019-06-26T21:33:32.571Z,36.835,70.9788,100.72,4.4,mb,,73,2.398,0.9,us,us700045la,2019-06-26T21:49:01.040Z,"13km ESE of Jarm, Afghanistan",earthquake,5.8,8.6,0.13,17,reviewed,us,us
2019-06-26T20:39:02.360Z,18.9181,-64.9278,32,2.71,md,10,334,1.2044,0.32,pr,pr2019177010,2019-06-27T00:34:58.957Z,"63km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,2.56,19.85,0.32,7,reviewed,pr,pr
2019-06-26T20:31:33.850Z,19.4195,-65.2405,51,2.76,md,10,329,1.4148,0.28,pr,pr2019177009,2019-06-27T00:34:46.949Z,"123km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake,3.18,12.8,0.33,10,reviewed,pr,pr
2019-06-26T20:08:57.560Z,18.9806,-64.9935,45,2.76,md,6,333,1.1977,0.23,pr,pr2019177007,2019-06-27T00:34:29.877Z,"71km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,3.44,14.29,0.4,5,reviewed,pr,pr
2019-06-26T19:57:50.684Z,61.9884,-148.253,12,2.7,ml,,,,0.71,ak,ak019851rzmg,2019-06-27T03:32:23.775Z,"38km NE of Sutton-Alpine, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-06-26T18:59:17.170Z,19.6473,-65.4016,11,3.3,md,15,291,1.502,0.27,pr,pr2019177006,2019-06-26T19:56:51.582Z,"142km NNE of Vieques, Puerto Rico",earthquake,6.18,9.06,0.44,10,reviewed,pr,pr
2019-06-26T18:06:29.664Z,-31.0124,-177.2946,10,5.3,mww,,64,1.845,1.02,us,us700045f8,2019-06-26T18:25:56.040Z,"159km ENE of L'Esperance Rock, New Zealand",earthquake,9.1,1.9,0.073,18,reviewed,us,us
2019-06-26T17:34:37.550Z,45.5596667,-111.8731667,3.17,2.78,ml,31,45,0.175,0.19,mb,mb80349824,2019-06-27T13:11:37.560Z,"30km N of Virginia City, Montana",earthquake,0.3,1.36,0.238,24,reviewed,mb,mb
2019-06-26T15:35:05.219Z,35.78683333,-96.69233333,7.51,2.52,ml,82,88,0,0.2,ok,ok2019mktj,2019-06-27T01:55:27.026Z,"4km NW of Stroud, Oklahoma",earthquake,,0.4,0.26,30,reviewed,ok,ok
2019-06-26T14:23:29.929Z,56.1349,163.9618,10,4.4,mb,,111,4.389,0.97,us,us700045ag,2019-06-27T07:46:19.040Z,"92km E of Ust'-Kamchatsk Staryy, Russia",earthquake,9.5,1.9,0.097,31,reviewed,us,us
2019-06-26T11:02:18.016Z,56.1406,164.6194,10,4.2,mb,,113,4.669,0.47,us,us70004592,2019-06-26T11:27:32.040Z,"133km E of Ust'-Kamchatsk Staryy, Russia",earthquake,5.6,2,0.132,16,reviewed,us,us
2019-06-26T10:57:22.510Z,56.1925,164.4286,10,4.6,mb,,111,4.622,0.56,us,us7000458v,2019-06-26T11:15:31.040Z,"121km E of Ust'-Kamchatsk Staryy, Russia",earthquake,8.9,1.9,0.086,40,reviewed,us,us
2019-06-26T10:42:58.208Z,56.2434,163.9364,10,4.3,mb,,114,4.454,1.26,us,us7000458n,2019-06-26T11:24:50.040Z,"90km E of Ust'-Kamchatsk Staryy, Russia",earthquake,11.6,1.9,0.09,35,reviewed,us,us
2019-06-26T10:17:06.037Z,66.2954,-157.2134,0,2.7,ml,,,,0.75,ak,ak01984w6f2g,2019-06-26T10:31:34.040Z,"69km SSW of Kobuk, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-06-26T10:06:17.280Z,19.1728333,-155.4835,34.82,2.8,ml,73,87,0.02662,0.11,hv,hv71010881,2019-06-27T00:37:51.708Z,"4km S of Pahala, Hawaii",earthquake,0.37,0.45,0.205,41,reviewed,hv,hv
2019-06-26T09:21:58.493Z,36.5301,70.3361,209.86,4.3,mb,,66,2.247,0.56,us,us70004581,2019-06-26T09:36:13.040Z,"43km E of Farkhar, Afghanistan",earthquake,5.9,7.7,0.105,26,reviewed,us,us
2019-06-26T09:16:23.240Z,41.9865,-111.4715,1.4,2.48,ml,21,80,0.1792,0.13,uu,uu60328507,2019-06-26T14:34:15.350Z,"27km SSW of Paris, Idaho",earthquake,0.39,0.95,0.102,16,reviewed,uu,uu
2019-06-26T08:53:49.550Z,37.3896667,-121.7393333,7.24,2.46,md,126,34,0.02888,0.1,nc,nc73202311,2019-06-27T06:33:31.882Z,"8km ENE of Alum Rock, CA",earthquake,0.1,0.25,0.146,94,reviewed,nc,nc
